
[04/08/2017 03:13:16] INFO     | Server initialized for eventlet.
[04/08/2017 03:13:16] ERROR    | Lost connection, reconnecting
[04/08/2017 03:13:17] ERROR    | Lost connection, reconnecting
[04/08/2017 03:13:17] ERROR    | Lost connection, reconnecting
[04/08/2017 03:13:17] ERROR    | Lost connection, reconnecting
[04/08/2017 03:13:17] ERROR    | Lost connection, reconnecting
[04/08/2017 03:13:17] ERROR    | Lost connection, reconnecting
[04/08/2017 03:13:17] ERROR    | Lost connection, reconnecting
[04/08/2017 03:13:17] ERROR    | Lost connection, reconnecting
[04/08/2017 03:13:18] ERROR    | Lost connection, reconnecting
[04/08/2017 03:13:18] ERROR    | Lost connection, reconnecting
[04/08/2017 03:13:18] ERROR    | Lost connection, reconnecting
[04/08/2017 03:13:18] ERROR    | Lost connection, reconnecting
[04/08/2017 03:13:18] ERROR    | Lost connection, reconnecting
[04/08/2017 03:13:18] ERROR    | Lost connection, reconnecting
[04/08/2017 03:13:19] ERROR    | Lost connection, reconnecting
[04/08/2017 03:13:19] ERROR    | Lost connection, reconnecting
[04/08/2017 03:13:19] ERROR    | Lost connection, reconnecting
[04/08/2017 03:13:19] ERROR    | Lost connection, reconnecting
[04/08/2017 03:13:19] ERROR    | Lost connection, reconnecting
[04/08/2017 03:13:19] ERROR    | Lost connection, reconnecting
[04/08/2017 03:13:19] ERROR    | Lost connection, reconnecting
[04/08/2017 03:13:20] ERROR    | Lost connection, reconnecting
[04/08/2017 03:13:20] ERROR    | Lost connection, reconnecting
[04/08/2017 03:13:43] INFO     | Server initialized for eventlet.
[04/08/2017 03:13:43] ERROR    | Lost connection, reconnecting
[04/08/2017 03:13:43] ERROR    | Lost connection, reconnecting
[04/08/2017 03:13:44] ERROR    | Lost connection, reconnecting
[04/08/2017 03:13:44] ERROR    | Lost connection, reconnecting
[04/08/2017 03:13:44] ERROR    | Lost connection, reconnecting
[04/08/2017 03:13:44] ERROR    | Lost connection, reconnecting
[04/08/2017 03:13:44] ERROR    | Lost connection, reconnecting
[04/08/2017 03:13:44] ERROR    | Lost connection, reconnecting
[04/08/2017 03:13:44] ERROR    | Lost connection, reconnecting
[04/08/2017 03:13:45] ERROR    | Lost connection, reconnecting
[04/08/2017 03:13:45] ERROR    | Lost connection, reconnecting
[04/08/2017 03:13:45] ERROR    | Lost connection, reconnecting
[04/08/2017 03:13:45] ERROR    | Lost connection, reconnecting
[04/08/2017 03:13:45] ERROR    | Lost connection, reconnecting
[04/08/2017 03:13:45] ERROR    | Lost connection, reconnecting
[04/08/2017 03:13:45] ERROR    | Lost connection, reconnecting
